"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Paris Saint Germain";34;24;4;6;74;29;76;75.64;69.56;33.6;38.99;7.96;22.14;401;145;73.32
2;"Lens";34;22;4;8;66;35;70;74.36;70.56;42.96;32.45;10.51;11.82;296;193;65.41
3;"Lille";34;18;7;9;52;37;61;57.19;51.11;38.61;15.77;10.17;14.15;320;136;57.32
4;"Lyon";34;18;6;10;53;40;60;55.16;51.36;47.98;7.31;10.68;13.26;251;174;52.81
5;"Marseille";34;18;5;11;63;45;59;69.45;63.37;49.66;18.26;10.04;17.54;267;185;59.16
6;"Rennes";34;17;8;9;59;50;59;54.47;49.91;60.22;-5.75;10.42;11.75;218;224;44.62
7;"Monaco";34;16;6;12;60;54;54;61.41;55.95;51.21;8.54;8.43;12.79;295;260;53.28
8;"Strasbourg";34;15;8;11;58;47;53;56.77;51.45;47.74;7.51;11.37;13.61;224;187;51.78
9;"Lorient";34;11;12;11;48;51;45;49.11;43.63;52.87;-4.68;17.74;10.82;168;217;43.19
10;"Toulouse";33;12;8;13;47;46;44;46.29;40.97;44.32;0.45;12.77;9.7;210;198;48.21
11;"Paris FC";34;11;11;12;47;50;44;49.71;45.07;56.59;-2.4;14.33;13.59;193;216;43.12
12;"Brest";34;10;9;15;43;55;39;46.38;40.3;56.24;-12.14;11.25;10.34;159;230;42.51
13;"Angers";34;9;9;16;29;48;36;33.46;29.66;60.27;-26.05;18.48;10.12;127;245;30.36
14;"Le Havre";34;7;14;13;32;44;35;38.69;34.01;55.73;-15.64;10.75;9.26;130;260;38.58
15;"Auxerre";34;8;10;16;34;44;34;40.34;36.54;50.05;-9.71;13.3;8.04;146;215;40.6
16;"Nice";34;7;11;16;37;60;32;46.79;44.51;60.75;-8.64;13.29;10.4;188;255;38.63
17;"Nantes";33;5;8;20;29;52;23;37.82;34.63;52.75;-14.33;13.9;8.53;149;205;35.45
18;"Metz";34;3;8;23;32;76;17;33.58;29.02;65.04;-29.94;15.47;11.95;111;308;28.13
