"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Lens";17;14;0;3;35;13;42;42.69;40.41;17.41;23.75;10.42;11.77;180;101;38.17
2;"Paris Saint Germain";17;13;2;2;41;12;41;39.39;36.35;13.59;23.51;7.3;23.12;231;53;39.94
3;"Marseille";17;11;4;2;41;20;37;38.31;34.5;21.66;15.13;10.05;18.15;154;87;32.88
4;"Lyon";17;12;1;4;30;18;37;32.22;29.94;21.99;9.59;10.12;15.29;146;72;31.13
5;"Rennes";17;10;4;3;30;17;34;30.68;29.16;25.91;4.77;9.45;11.77;113;92;27.09
6;"Monaco";17;10;2;5;33;23;32;32.44;28.51;22.71;8.08;8.18;12.97;151;126;29.98
7;"Strasbourg";17;9;3;5;30;19;30;29.03;26.75;17.8;10.47;11.9;13.81;97;85;30.06
8;"Lorient";17;8;6;3;31;25;30;29.19;26;22.24;6.04;17.77;11.38;100;91;27.7
9;"Lille";17;8;5;4;24;17;29;31.21;27.41;17.27;10.14;9.98;14.75;168;63;31.48
10;"Brest";17;7;5;5;28;23;26;30.08;27.04;24.53;4.79;10.6;11.8;90;108;28.51
11;"Paris FC";17;7;4;6;28;27;25;29.05;25.93;26.32;2.65;12.83;14.7;124;97;25.6
12;"Toulouse";17;6;6;5;25;24;24;27.55;24.51;20.41;6.39;12.85;9.87;107;96;28.81
13;"Le Havre";17;5;8;4;20;18;23;21.82;18.02;23.25;-2.19;10.76;9.16;69;108;24.1
14;"Angers";17;6;5;6;18;20;23;18.87;18.11;26.5;-5.35;16.95;10;77;117;18.63
15;"Auxerre";17;6;4;7;18;17;22;22.09;19.05;21.93;-0.6;13.09;8.23;66;88;23.4
16;"Nice";17;4;8;5;19;27;20;27.35;26.59;29.53;2.38;13.24;10.4;99;115;23.47
17;"Nantes";16;3;3;10;18;27;12;20.74;18.3;25.72;-6.65;12.58;9.51;76;104;18.83
18;"Metz";17;2;4;11;15;32;10;20.04;17.76;25.1;-5.82;14.41;13.08;56;146;20
